[14:46:26]: TARDIS_360 dropped the item LIGHT_GRAY_TERRACOTTA.
[23:15:33]: Lhendy51 dropped the item Capitalist (DIAMOND_PICKAXE).
[23:15:36]: Lhendy51 dropped the item COBBLESTONE.
[23:15:36]: Lhendy51 dropped the item COBBLESTONE.
[23:15:36]: Lhendy51 dropped the item COBBLESTONE.
[23:15:37]: Lhendy51 dropped the item COBBLESTONE.
[23:15:37]: Lhendy51 dropped the item Capitalist (DIAMOND_PICKAXE).
[23:15:41]: Lhendy51 dropped the item COBBLESTONE.
[23:15:41]: Lhendy51 dropped the item COBBLESTONE.
[23:15:41]: Lhendy51 dropped the item COBBLESTONE.
[23:15:41]: Lhendy51 dropped the item COBBLESTONE.
[23:15:41]: Lhendy51 dropped the item Capitalist (DIAMOND_PICKAXE).
[23:16:10]: Lhendy51 dropped the item ROTTEN_FLESH.
[23:16:23]: BenDoesMusic dropped the item BOW.
[23:18:13]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:14]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:15]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:15]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:16]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:16]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:17]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:17]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:17]: Lhendy51 dropped the item WATER_BUCKET.
[23:18:18]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:00]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:00]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:02]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:03]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:03]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:04]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:04]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:05]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:05]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:06]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:06]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:07]: Lhendy51 dropped the item WATER_BUCKET.
[23:20:07]: Lhendy51 dropped the item WATER_BUCKET.
[23:22:17]: Lhendy51 dropped the item SEA_LANTERN.
[23:23:45]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:45]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:45]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:45]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:46]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:46]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:46]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:46]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:47]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:47]: Lhendy51 dropped the item WATER_BUCKET.
[23:23:47]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:49]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:49]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:49]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:50]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:50]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:50]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:50]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:51]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:51]: Lhendy51 dropped the item WATER_BUCKET.
[23:24:51]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:56]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:56]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:56]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:57]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:57]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:57]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:57]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:58]: Lhendy51 dropped the item WATER_BUCKET.
[23:25:58]: Lhendy51 dropped the item WATER_BUCKET.
[23:26:59]: Lhendy51 dropped the item WATER_BUCKET.
[23:26:59]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:00]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:00]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:00]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:00]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:01]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:01]: BenDoesMusic dropped the item BREAD.
[23:27:01]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:03]: BenDoesMusic dropped the item BREAD.
[23:27:03]: BenDoesMusic dropped the item BREAD.
[23:27:04]: BenDoesMusic dropped the item BREAD.
[23:27:04]: BenDoesMusic dropped the item BREAD.
[23:27:06]: BenDoesMusic dropped the item BREAD.
[23:27:06]: BenDoesMusic dropped the item BREAD.
[23:27:06]: BenDoesMusic dropped the item BREAD.
[23:27:07]: BenDoesMusic dropped the item BREAD.
[23:27:07]: BenDoesMusic dropped the item BREAD.
[23:27:07]: BenDoesMusic dropped the item BREAD.
[23:27:08]: BenDoesMusic dropped the item BREAD.
[23:27:08]: BenDoesMusic dropped the item BREAD.
[23:27:08]: BenDoesMusic dropped the item BREAD.
[23:27:08]: BenDoesMusic dropped the item BREAD.
[23:27:09]: BenDoesMusic dropped the item BREAD.
[23:27:09]: BenDoesMusic dropped the item BREAD.
[23:27:09]: BenDoesMusic dropped the item BREAD.
[23:27:09]: BenDoesMusic dropped the item BREAD.
[23:27:10]: BenDoesMusic dropped the item BREAD.
[23:27:10]: BenDoesMusic dropped the item BREAD.
[23:27:10]: BenDoesMusic dropped the item BREAD.
[23:27:10]: BenDoesMusic dropped the item BREAD.
[23:27:11]: BenDoesMusic dropped the item BREAD.
[23:27:11]: BenDoesMusic dropped the item BREAD.
[23:27:11]: BenDoesMusic dropped the item BREAD.
[23:27:11]: BenDoesMusic dropped the item BREAD.
[23:27:12]: BenDoesMusic dropped the item BREAD.
[23:27:12]: BenDoesMusic dropped the item BREAD.
[23:27:19]: BenDoesMusic dropped the item BREAD.
[23:27:19]: BenDoesMusic dropped the item BREAD.
[23:27:19]: BenDoesMusic dropped the item BREAD.
[23:27:45]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:45]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:46]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:46]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:46]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:46]: Lhendy51 dropped the item WATER_BUCKET.
[23:27:47]: Lhendy51 dropped the item WATER_BUCKET.
[23:28:41]: Lhendy51 dropped the item WATER_BUCKET.
[23:28:42]: Lhendy51 dropped the item WATER_BUCKET.
[23:28:42]: Lhendy51 dropped the item WATER_BUCKET.
[23:28:42]: Lhendy51 dropped the item WATER_BUCKET.
[23:28:42]: Lhendy51 dropped the item WATER_BUCKET.
[23:28:43]: Lhendy51 dropped the item WATER_BUCKET.
[23:29:57]: Lhendy51 dropped the item WATER_BUCKET.
[23:29:57]: Lhendy51 dropped the item WATER_BUCKET.
[23:29:58]: Lhendy51 dropped the item WATER_BUCKET.
[23:29:58]: Lhendy51 dropped the item WATER_BUCKET.
[23:29:58]: Lhendy51 dropped the item WATER_BUCKET.
[23:30:48]: Lhendy51 dropped the item WATER_BUCKET.
[23:30:49]: Lhendy51 dropped the item WATER_BUCKET.
[23:30:49]: Lhendy51 dropped the item WATER_BUCKET.
[23:30:49]: Lhendy51 dropped the item WATER_BUCKET.
[23:31:02]: BenjaboyQ dropped the item IRON_INGOT.
[23:31:03]: BenjaboyQ dropped the item IRON_BLOCK.
[23:31:48]: Lhendy51 dropped the item WATER_BUCKET.
[23:31:48]: Lhendy51 dropped the item WATER_BUCKET.
[23:31:49]: Lhendy51 dropped the item WATER_BUCKET.
[23:32:25]: Lhendy51 dropped the item WATER_BUCKET.
[23:32:26]: Lhendy51 dropped the item WATER_BUCKET.
[23:32:26]: Lhendy51 dropped the item WATER_BUCKET.
[23:32:26]: Lhendy51 dropped the item WATER_BUCKET.
[23:32:26]: Lhendy51 dropped the item WATER_BUCKET.
[23:33:24]: Lhendy51 dropped the item WATER_BUCKET.
[23:33:31]: BenDoesMusic dropped the item EMERALD.
[23:34:16]: BenjaboyQ dropped the item GRANITE.
[23:34:17]: BenjaboyQ dropped the item GRANITE.
[23:34:19]: BenjaboyQ dropped the item GRANITE.
[23:34:20]: BenjaboyQ dropped the item GRANITE.
[23:34:21]: BenjaboyQ dropped the item GRANITE.
[23:36:51]: BenjaboyQ dropped the item CARROT.
[23:36:53]: BenjaboyQ dropped the item CARROT.
[23:36:54]: BenjaboyQ dropped the item CARROT.
[23:38:58]: BenDoesMusic dropped the item CARROT.
[23:38:58]: BenDoesMusic dropped the item CARROT.
[23:38:58]: BenDoesMusic dropped the item CARROT.
[23:38:59]: BenDoesMusic dropped the item CARROT.
[23:38:59]: BenDoesMusic dropped the item CARROT.
[23:38:59]: BenDoesMusic dropped the item CARROT.
[23:38:59]: BenDoesMusic dropped the item CARROT.
[23:39:00]: BenDoesMusic dropped the item CARROT.
[23:39:00]: BenDoesMusic dropped the item CARROT.
[23:39:00]: BenDoesMusic dropped the item CARROT.
[23:39:00]: BenDoesMusic dropped the item CARROT.
[23:39:01]: BenDoesMusic dropped the item CARROT.
[23:39:01]: BenDoesMusic dropped the item CARROT.
[23:39:01]: BenDoesMusic dropped the item CARROT.
[23:39:02]: BenDoesMusic dropped the item CARROT.
[23:39:02]: BenDoesMusic dropped the item CARROT.
[23:39:02]: BenDoesMusic dropped the item CARROT.
[23:39:02]: BenDoesMusic dropped the item CARROT.
[23:39:02]: BenDoesMusic dropped the item CARROT.
[23:39:03]: BenDoesMusic dropped the item CARROT.
[23:39:03]: BenDoesMusic dropped the item CARROT.
[23:39:03]: BenDoesMusic dropped the item CARROT.
[23:39:04]: BenDoesMusic dropped the item CARROT.
[23:39:04]: BenDoesMusic dropped the item CARROT.
[23:39:04]: BenDoesMusic dropped the item CARROT.
[23:39:04]: BenDoesMusic dropped the item CARROT.
[23:39:05]: BenDoesMusic dropped the item CARROT.
[23:39:05]: BenDoesMusic dropped the item CARROT.
[23:39:05]: BenDoesMusic dropped the item CARROT.
[23:39:05]: BenDoesMusic dropped the item CARROT.
[23:39:06]: BenDoesMusic dropped the item CARROT.
[23:39:06]: BenDoesMusic dropped the item CARROT.
[23:39:06]: BenDoesMusic dropped the item CARROT.
[23:39:06]: BenDoesMusic dropped the item CARROT.
[23:39:07]: BenDoesMusic dropped the item CARROT.
[23:39:07]: BenDoesMusic dropped the item CARROT.
[23:39:07]: BenDoesMusic dropped the item CARROT.
[23:39:07]: BenDoesMusic dropped the item CARROT.
[23:39:07]: BenDoesMusic dropped the item CARROT.
[23:39:08]: BenDoesMusic dropped the item CARROT.
[23:39:08]: BenDoesMusic dropped the item CARROT.
[23:39:08]: BenDoesMusic dropped the item CARROT.
[23:39:08]: BenDoesMusic dropped the item CARROT.
[23:39:08]: BenDoesMusic dropped the item CARROT.
[23:39:09]: BenDoesMusic dropped the item CARROT.
[23:39:09]: BenDoesMusic dropped the item CARROT.
[23:39:09]: BenDoesMusic dropped the item CARROT.
[23:39:09]: BenDoesMusic dropped the item CARROT.
[23:39:09]: BenDoesMusic dropped the item CARROT.
[23:39:10]: BenDoesMusic dropped the item CARROT.
[23:42:29]: Lhendy51 dropped the item STONE.
[23:42:29]: Lhendy51 dropped the item STONE.
[23:42:29]: Lhendy51 dropped the item STONE.
[23:42:29]: Lhendy51 dropped the item STONE.
[23:42:40]: Lhendy51 dropped the item STONE.
[23:44:41]: BenjaboyQ dropped the item QUARTZ_BLOCK.
[23:44:41]: BenjaboyQ dropped the item QUARTZ_BLOCK.
[23:44:42]: BenjaboyQ dropped the item QUARTZ_BLOCK.
[23:44:43]: BenjaboyQ dropped the item QUARTZ_BLOCK.
[23:44:44]: BenjaboyQ dropped the item QUARTZ_BLOCK.
[23:44:45]: BenjaboyQ dropped the item QUARTZ_BLOCK.
[23:46:29]: BenjaboyQ dropped the item QUARTZ_BLOCK.
[23:51:20]: Lhendy51 dropped the item GRAVEL.
[23:53:38]: Lhendy51 dropped the item GRAVEL.
[23:54:03]: Lhendy51 dropped the item ENDER_CHEST.
