[00:00:19]: Borps dropped the item DARK_OAK_SLAB.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:36]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:37]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:38]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:39]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:40]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:41]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:42]: TARDIS_360 dropped the item DIRT.
[17:14:43]: TARDIS_360 dropped the item DIRT.
[17:20:23]: Borps dropped the item OAK_LEAVES.
[17:20:24]: Borps dropped the item DARK_OAK_LEAVES.
[17:20:50]: Borps dropped the item ROTTEN_FLESH.
[21:43:29]: BenjaboyQ dropped the item STICK.
[21:45:54]: Lhendy51 dropped the item ROTTEN_FLESH.
[21:45:55]: Lhendy51 dropped the item GOLD_NUGGET.
[21:45:55]: Lhendy51 dropped the item POPPY.
[22:01:05]: BenjaboyQ dropped the item ROTTEN_FLESH.
[22:04:32]: Lhendy51 dropped the item SMOOTH_STONE.
[22:06:51]: BenDoesMusic dropped the item POLISHED_GRANITE.
[22:06:51]: BenDoesMusic dropped the item BRICKS.
[22:06:52]: BenDoesMusic dropped the item GRANITE.
[22:08:26]: BenDoesMusic dropped the item DARK_OAK_LOG.
[22:08:26]: BenDoesMusic dropped the item DARK_OAK_LOG.
[22:17:38]: BenjaboyQ dropped the item STONE.
[22:17:39]: BenjaboyQ dropped the item COBBLESTONE.
[22:19:00]: BenjaboyQ dropped the item ROTTEN_FLESH.
[22:23:20]: Borps dropped the item WHITE_DYE.
[22:26:06]: Lhendy51 dropped the item GUNPOWDER.
[22:27:25]: Austin_Powers_ dropped the item PRISMARINE_BRICKS.
[22:27:26]: Austin_Powers_ dropped the item PRISMARINE_BRICKS.
[22:27:27]: Austin_Powers_ dropped the item PRISMARINE.
[22:34:32]: BenDoesMusic dropped the item FIREWORK_ROCKET.
[22:34:38]: Borps dropped the item INK_SAC.
[22:35:19]: Austin_Powers_ dropped the item ROTTEN_FLESH.
[22:36:39]: BenjaboyQ dropped the item BONE_MEAL.
[22:41:04]: Austin_Powers_ dropped the item STONE.
[22:42:09]: Lhendy51 dropped the item LIGHT_GRAY_STAINED_GLASS_PANE.
[22:43:03]: Austin_Powers_ dropped the item Groovy Wings III (ELYTRA).
[22:46:09]: BenDoesMusic dropped the item GUNPOWDER.
[22:46:34]: Lhendy51 dropped the item LEATHER.
[22:46:35]: Lhendy51 dropped the item LEATHER.
[22:48:28]: Lhendy51 dropped the item IRON_INGOT.
[22:56:57]: BenjaboyQ dropped the item ACACIA_LOG.
[22:57:22]: Austin_Powers_ dropped the item FIREWORK_ROCKET.
[23:03:49]: Austin_Powers_ dropped the item ROTTEN_FLESH.
[23:04:35]: Austin_Powers_ dropped the item NETHER_BRICK_SLAB.
[23:04:41]: Austin_Powers_ dropped the item ARROW.
[23:13:09]: Borps dropped the item CUT_SANDSTONE.
[23:14:34]: Borps dropped the item WOODEN_AXE.
[23:19:27]: Borps dropped the item INK_SAC.
[23:19:42]: Austin_Powers_ dropped the item NETHER_BRICKS.
[23:19:46]: Austin_Powers_ dropped the item STONE.
[23:20:50]: Austin_Powers_ dropped the item STONE.
